Teste,Baseline,Sequencial_100,Paralelo_3,Paralelo_5,Paralelo_10,Paralelo_50,Paralelo_100
Tempo Mínimo(s),0.000,6.000,7.000,9.000,17.000,27.000,1.000
Tempo Médio(s),1.242,310.290,8.667,11.800,20.700,28.440,1.710
Tempo Máximo(s),3.500,602.000,10.000,14.000,22.000,31.000,2.000
CPU Média(%),532.5,200.0,300.0,380.0,410.0,500.0,500.0
MEM Média(MB),28.7,1.1,1.8,1.3,4.7,9.8,57.7
MEM Média(%),0.0,541.2,543.7,545.8,548.2,583.8,640.3
