Teste,Baseline,Sequencial_100,Paralelo_3,Paralelo_5,Paralelo_10,Paralelo_50,Paralelo_100
Tempo Mínimo(s),0.100,1.000,3.000,7.000,16.000,13.000,12.000
Tempo Médio(s),1.382,120.010,3.000,7.000,16.900,18.440,29.320
Tempo Máximo(s),5.100,239.000,3.000,7.000,18.000,26.000,53.000
CPU Média(%),3179.4,201.0,300.7,320.6,440.2,500.0,494.0
MEM Média(MB),8.0,1.5,1.0,5.0,6.6,10.4,12.4
MEM Média(%),0.0,3177.8,3165.3,3170.4,3190.2,3246.5,3283.0
