Teste,Tempo Mínimo(s),Tempo Médio(s),Tempo Máximo(s),CPU Média(%),MEM Média(MB),MEM Média(%)
Baseline,0.100,1.382,5.100,3179.4,8.0,0.0
Sequencial_100,1.000,120.010,239.000,201.0,1.5,3177.8
Paralelo_3,3.000,3.000,3.000,300.7,1.0,3165.3
Paralelo_5,7.000,7.000,7.000,320.6,5.0,3170.4
Paralelo_10,16.000,16.900,18.000,440.2,6.6,3190.2
Paralelo_50,13.000,18.440,26.000,500.0,10.4,3246.5
Paralelo_100,12.000,29.320,53.000,494.0,12.4,3283.0
