Teste,Baseline,Sequencial_100,Paralelo_3,Paralelo_5,Paralelo_10,Paralelo_50,Paralelo_100
Tempo Mínimo(s),0.000,1.000,0.000,0.000,1.000,1.000,0.000
Tempo Médio(s),1.500,81.430,0.333,0.000,1.000,2.680,2.940
Tempo Máximo(s),3.500,162.000,1.000,0.000,1.000,4.000,5.000
CPU Média(%),527.7,200.0,200.0,200.0,200.0,200.0,200.0
MEM Média(MB),28.5,1.4,5.4,3.7,7.1,19.2,30.8
MEM Média(%),0.0,530.9,539.7,539.0,543.5,583.6,631.3
