Teste,Tempo Mínimo(s),Tempo Médio(s),Tempo Máximo(s),CPU Média(%),MEM Média(MB),MEM Média(%)
Baseline,0.000,1.500,3.500,527.7,28.5,0.0
Sequencial_100,1.000,81.430,162.000,200.0,1.4,530.9
Paralelo_3,0.000,0.333,1.000,200.0,5.4,539.7
Paralelo_5,0.000,0.000,0.000,200.0,3.7,539.0
Paralelo_10,1.000,1.000,1.000,200.0,7.1,543.5
Paralelo_50,1.000,2.680,4.000,200.0,19.2,583.6
Paralelo_100,0.000,2.940,5.000,200.0,30.8,631.3
