Teste,Tempo Mínimo(s),Tempo Médio(s),Tempo Máximo(s),CPU Média(%),MEM Média(MB),MEM Média(%)
Baseline,0.200,0.838,3.600,3167.4,7.9,0.0
Sequencial_100,0.000,57.560,115.000,201.0,1.8,3165.5
Paralelo_3,0.000,0.000,0.000,201.0,3.3,3163.0
Paralelo_5,0.000,0.000,0.000,201.0,1.9,3161.0
Paralelo_10,0.000,0.400,1.000,201.0,4.9,3170.4
Paralelo_50,0.000,0.380,1.000,201.0,16.8,3229.9
Paralelo_100,0.000,0.960,2.000,201.0,32.2,3316.7
