Request,Time(s),Delta(s),HTTP Status,CPU(%),MEM(MB),MEM(%)
38,13.041335,13,500,17.3,3276.0,8.2
13,13.048009,13,500,16.8,3281.0,8.2
50,13.051139,13,500,16.8,3280.0,8.2
6,13.079349,13,500,16.8,3280.0,8.2
5,13.096563,13,500,16.2,3284.0,8.2
19,13.064886,13,500,16.2,3285.0,8.2
45,13.063399,13,500,16.0,3285.0,8.2
12,13.059253,13,500,15.6,3285.0,8.2
30,13.063073,13,500,15.6,3286.0,8.2
9,13.082870,13,500,15.3,3286.0,8.2
40,13.067290,13,500,15.3,3286.0,8.2
46,13.061155,13,500,15.3,3286.0,8.2
37,13.088530,13,500,15.2,3286.0,8.2
42,13.076510,13,500,14.9,3287.0,8.2
21,13.066226,13,500,14.8,3287.0,8.2
41,13.097862,13,500,15.0,3280.0,8.2
43,13.093764,13,500,15.0,3280.0,8.2
26,13.102457,13,500,15.0,3280.0,8.2
24,13.091217,13,500,14.9,3280.0,8.2
47,13.094886,13,500,14.6,3265.0,8.2
16,13.108755,13,500,14.5,3261.0,8.2
48,13.104731,13,500,14.6,3262.0,8.2
39,13.105982,13,500,14.6,3262.0,8.2
10,13.157838,13,500,14.6,3262.0,8.2
36,13.110983,13,500,14.9,3262.0,8.2
2,13.164906,13,500,14.9,3254.0,8.1
7,15.660264,16,500,2.4,3247.0,8.1
14,15.647324,16,500,2.0,3247.0,8.1
1,15.666647,16,500,1.8,3247.0,8.1
4,15.670262,16,500,1.9,3247.0,8.1
29,25.704203,26,500,5.5,3214.0,8.0
27,25.710137,26,500,5.5,3214.0,8.0
23,25.706807,26,500,5.5,3215.0,8.0
22,25.705299,26,500,5.2,3215.0,8.0
49,25.712001,26,500,5.5,3215.0,8.0
17,25.718739,26,500,5.5,3215.0,8.0
34,25.728346,26,500,5.4,3207.0,8.0
18,25.726814,26,500,5.5,3208.0,8.0
33,25.727285,26,500,5.5,3208.0,8.0
32,25.729245,26,500,5.5,3208.0,8.0
11,25.735651,26,500,5.7,3201.0,8.0
31,25.745789,26,500,6.0,3201.0,8.0
44,25.740290,26,500,6.1,3201.0,8.0
28,25.749668,26,500,5.7,3201.0,8.0
15,25.748072,26,500,5.4,3201.0,8.0
3,25.783011,26,500,5.5,3201.0,8.0
8,25.778880,26,500,5.4,3201.0,8.0
20,25.775661,26,500,5.4,3201.0,8.0
25,25.782539,26,500,5.4,3201.0,8.0
35,25.777638,26,500,5.4,3201.0,8.0
